# Copyright (C) 2025  Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus Prime License Agreement,
# the Altera IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Altera and sold by Altera or its authorized distributors.  Please
# refer to the Altera Software License Subscription Agreements 
# on the Quartus Prime software download page.

# Quartus Prime Version 25.3.0 Build 109 09/24/2025 SC Pro Edition
# File: C:\Users\\Downloads\DE23-Lite_revB_v1.1.0_ResourcePackage\Demonstrations\golden_top\DE_23_Pin_Assignments.csv
# Generated on: Sat Mar 28 21:09:38 2026

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
<<new node>>,,,,,,,,,
GPIO_D[35],Unknown,PIN_F27,6D,3.3-V LVCMOS,,,,,
GPIO_D[34],Unknown,PIN_K18,6D,3.3-V LVCMOS,,,,,
GPIO_D[33],Unknown,PIN_H21,6D,3.3-V LVCMOS,,,,,
GPIO_D[32],Unknown,PIN_H27,6D,3.3-V LVCMOS,,,,,
GPIO_D[31],Unknown,PIN_F21,6D,3.3-V LVCMOS,,,,,
GPIO_D[30],Unknown,PIN_K21,6D,3.3-V LVCMOS,,,,,
GPIO_D[29],Unknown,PIN_D26,6D,3.3-V LVCMOS,,,,,
GPIO_D[28],Unknown,PIN_F26,6D,3.3-V LVCMOS,,,,,
GPIO_D[27],Unknown,PIN_P9,6C,3.3-V LVCMOS,,,,,
GPIO_D[26],Unknown,PIN_F18,6D,3.3-V LVCMOS,,,,,
GPIO_D[25],Unknown,PIN_B16,6C,3.3-V LVCMOS,,,,,
GPIO_D[24],Unknown,PIN_B19,6C,3.3-V LVCMOS,,,,,
GPIO_D[23],Unknown,PIN_A14,6C,3.3-V LVCMOS,,,,,
GPIO_D[22],Unknown,PIN_U12,6C,3.3-V LVCMOS,,,,,
GPIO_D[21],Unknown,PIN_A11,6C,3.3-V LVCMOS,,,,,
GPIO_D[20],Unknown,PIN_B14,6C,3.3-V LVCMOS,,,,,
